word,tf_idf
september 30,0.7793315879082431
assam rifles,0.7793315879082431
motorcycle rally,0.7793315879082431
milk banks,0.6175835224933247
liver disease,0.5883189438130855
health centre,0.5812895363196873
krishnaswamy college,0.5742443279323897
shri krishnaswamy,0.5742443279323897
bagri market,0.5595201143956617
auto driver,0.5455321115357702
sickle cell,0.47621739347977565
mental health,0.46034721459243616
nursing home,0.4429929241672331
textile store,0.44232333367765153
woman cell,0.41964008579674633
lactating mothers,0.41172234832888316
brt corridor,0.3991698377091001
virudhunagar collector,0.396847827899813
swadhar greh,0.3967506265714692
harm reduction,0.38966579395412154
rave party,0.38966579395412154
9 month,0.38966579395412154
accused sped,0.38966579395412154
avert crime,0.38966579395412154
daughter husband,0.38966579395412154
finally lodged,0.38966579395412154
krishnanagar police,0.38966579395412154
police chief,0.38966579395412154
private factory,0.38966579395412154
saturday added,0.38966579395412154
woman raised,0.38966579395412154
woman stays,0.38966579395412154
20 bikers,0.38966579395412154
563 km,0.38966579395412154
kiphire zunebotto,0.38966579395412154
kohima kiphire,0.38966579395412154
rally covering,0.38966579395412154
wokha route,0.38966579395412154
zunebotto wokha,0.38966579395412154
border wall,0.38417754333504944
sex workers,0.37906514857654616
laced food,0.37622904243846217
poison laced,0.37622904243846217
risk sex,0.3686027780647096
health unit,0.3607707526361937
hoarding frame,0.35772597477755425
railway authorities,0.35772597477755425
tb patients,0.35328972282675336
green mussel,0.3519562009908195
dairy booths,0.3519562009908195
single window,0.3519562009908195
rehabilitation centre,0.3519562009908195
organ retrieval,0.34095756970985636
gsvm medical,0.34095756970985636
minor stepdaughter,0.34095756970985636
68 hiv,0.34095756970985636
country officers,0.34095756970985636
department told,0.34095756970985636
disadvantaged category,0.34095756970985636
include hiv,0.34095756970985636
private schools,0.34095756970985636
rte benefits,0.34095756970985636
closed settings,0.34015528105698256
police official,0.34015528105698256
minister vijayabaskar,0.33513144820689167
pune police,0.3322446931254249
meteorological centre,0.33062552214289104
minimum temperature,0.33062552214289104
patna meteorological,0.33062552214289104
windy conditions,0.33062552214289104
fatty liver,0.3209012420798648
cancer drugs,0.3177856960402545
forest officials,0.3162504994410262
dr sarkar,0.31473006434755973
nadu health,0.31300205801829317
cell disease,0.31173263516329724
drug abuse,0.3111934876206851
gay people,0.30879176124666236
mental health,0.3034498493193587
expectant mothers,0.29974291842624734
girl’s mother,0.29763587092485977
education department,0.29763587092485977
hiv kids,0.29763587092485977
school education,0.29763587092485977
sensitive issue,0.29763587092485977
west bengal,0.29592921849002257
government rajaji,0.29245091385853234
rajaji hospital,0.29245091385853234
jyothis centre,0.29224934546559117
oral pellets,0.2909504594857441
counselling centre,0.28861660210895496
"2,500 students",0.28712216396619483
anna nagar,0.28712216396619483
community welfare,0.28712216396619483
discriminate people,0.28712216396619483
huge human,0.28712216396619483
human red,0.28712216396619483
indian community,0.28712216396619483
jointly mark,0.28712216396619483
welfare organisation,0.28712216396619483
hiv infections,0.2856167755355482
district hospital,0.28488023725360007
drug overdose,0.28286850227780674
jandiala guru,0.2821717818288466
months pregnant,0.2801278785175151
fire tender,0.27976005719783087
ludhiana police,0.27976005719783087
control board,0.2773892092554764
pollution control,0.2773892092554764
central prison,0.276616433440609
cb naat,0.2727660557678851
accused george,0.2727660557678851
allegedly sexually,0.2727660557678851
cops nabbed,0.2727660557678851
george mendonca,0.2727660557678851
girl narrated,0.2727660557678851
girl residing,0.2727660557678851
house raped,0.2727660557678851
khandeshwar police,0.2727660557678851
maternal aunt,0.2727660557678851
neighbouring building,0.2727660557678851
panvel taluka,0.2727660557678851
sexually assaulting,0.2727660557678851
victim contracted,0.2727660557678851
victim lodged,0.2727660557678851
nss volunteers,0.27212422484558607
training programme,0.2682914892843806
sickle cell,0.2675378615054919
pl sharma,0.2675378615054919
sharma district,0.2675378615054919
health insurance,0.2648214133668787
jaipur city,0.2639671507431146
minister vasundhara,0.2639671507431146
vasundhara raje,0.2639671507431146
de addiction,0.26189634076883495
primary health,0.2616829747235461
spread awareness,0.2616829747235461
motu cognisance,0.25977719596941434
pastor philip,0.25977719596941434
mentally challenged,0.2597549418980594
district hospital,0.2592730249161978
infected blood,0.2570693893432829
madhya pradesh,0.2543141721398632
teenager’s family,0.25373586583059077
uncle’s house,0.25373586583059077
wooden log,0.25373586583059077
special squad,0.25373586583059077
police control,0.25373586583059077
female sex,0.2535747166762814
udai sarai,0.25256116274804175
red ribbon,0.2506407334104082
sexual assault,0.2487702801760022
17 plaza,0.24796914160716826
dobra based,0.24796914160716826
healthy relationships,0.24796914160716826
jaagruk naagrik,0.24796914160716826
makes people,0.24796914160716826
milegi na,0.24796914160716826
na dobra,0.24796914160716826
naagrik makes,0.24796914160716826
play zindagi,0.24796914160716826
prevent aids,0.24796914160716826
preventing unnecessary,0.24796914160716826
ranjit roy,0.24796914160716826
sector 17,0.24796914160716826
sexual activities,0.24796914160716826
shyam juneja,0.24796914160716826
unnecessary involvement,0.24796914160716826
zindagi milegi,0.24796914160716826
cell anaemia,0.24518297147675064
intervention centres,0.24426810964288215
addiction centres,0.24292697040225736
wild life,0.2424587162381201
rajaji hospital,0.23927802042970828
jail inmates,0.23810869673988783
navi mumbai,0.23810869673988783
blood banks,0.2374184740714622
deadly virus,0.23718787458076962
dehradun marking,0.23718787458076962
department experts,0.23718787458076962
detailed information,0.23718787458076962
gain knowledge,0.23718787458076962
information people,0.23718787458076962
marking world,0.23718787458076962
national helpline,0.23718787458076962
preventive mode,0.23718787458076962
saturday senior,0.23718787458076962
senior health,0.23718787458076962
status medicos,0.23718787458076962
urged youths,0.23718787458076962
uttarakhand urged,0.23718787458076962
virus uttarakhand,0.23718787458076962
year’s theme,0.23718787458076962
addiction centres,0.2353982419806998
public health,0.2351866032737947
dr dahiya,0.23379947637247292
pregnant woman,0.23317721431468516
district hospital,0.23308383048021827
taking treatment,0.23272118128724872
aadhaar card,0.23230116755111008
speeding car,0.23230116755111008
infected parents,0.23050652600102964
government shutdown,0.23050652600102964
zika virus,0.22969773117295586
foundation day,0.22730504647323757
gpcc workers,0.22730504647323757
hollow space,0.22730504647323757
vip road,0.22730504647323757
collector handed,0.22730504647323757
health department,0.22386440615899672
ajay narayan,0.22266616797378372
narayan singh,0.22266616797378372
ramnath singh,0.22266616797378372
sadar ajay,0.22266616797378372
sdm sadar,0.22266616797378372
sex workers,0.22233628906893574
health minister,0.22233628906893574
uttar pradesh,0.22194691386751694
nagar haveli,0.22116166683882577
prevent hiv,0.22116166683882577
drug addicts,0.22088790088281235
